,PetID,AdoptionSpeed,Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,State,Breed,Colors
0,86e1089a3,2,2,3,1,1,1,2,2,2,1,1,100,0,1.0,41326,Tabby,"Black, White"
1,6296e909a,0,2,1,1,2,2,3,3,3,1,1,0,0,2.0,41401,Domestic Medium Hair,"Black, Brown"
2,3422e4906,3,1,1,1,2,2,1,1,2,1,1,0,0,7.0,41326,Mixed Breed,"Brown, White"
3,5842f1ff5,2,1,4,2,2,1,1,1,2,1,1,150,0,8.0,41401,Mixed Breed,"Black, Brown"
4,850a43f90,2,1,1,1,2,1,2,2,2,1,1,0,0,3.0,41326,Mixed Breed,Black
5,d24c30b4b,2,2,3,2,2,1,2,2,2,1,1,0,0,2.0,41326,Domestic Short Hair,"Cream, Gray"
6,1caa6fcdb,1,2,12,1,2,3,2,2,3,1,1,300,0,3.0,41326,Mixed Breed,Black
7,97aa9eeac,3,1,0,2,2,1,2,2,2,1,6,0,0,9.0,41326,Mixed Breed,"Black, Brown"
8,c06d167ca,1,2,2,2,2,2,2,2,2,1,1,0,0,6.0,41326,Domestic Medium Hair,Gray
9,7a0942d61,4,2,12,2,2,2,3,3,3,1,1,0,0,2.0,41326,Domestic Medium Hair,"Black, White"
10,8b693ca84,1,1,2,1,2,1,2,1,2,1,1,0,0,7.0,41401,Mixed Breed,"Black, Brown"
11,8e76c8e39,1,2,3,2,3,3,1,1,2,1,1,50,0,2.0,41326,Domestic Long Hair,"Black, Brown"
12,aaedd873d,2,1,2,1,2,3,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Brown, Cream"
13,4a9793dfb,1,2,2,3,1,2,2,2,3,1,7,0,0,1.0,41326,Domestic Medium Hair,"Black, Gray"
14,c02be41e6,2,1,3,2,2,2,3,3,3,1,1,0,0,2.0,41401,Mixed Breed,"Brown, Cream"
15,1fd342e17,4,1,78,1,2,2,3,3,3,1,1,0,0,2.0,41326,Mixed Breed,"Black, White"
16,b38a74866,3,2,6,2,1,1,1,1,1,1,1,0,0,1.0,41326,Domestic Short Hair,Brown
17,f9d07d5fa,4,1,8,2,2,1,2,1,1,1,1,10,0,2.0,41330,Mixed Breed,Brown
18,1c92ce464,2,1,2,2,2,1,2,1,2,1,1,0,0,8.0,41401,Mixed Breed,Black
19,b10e7605a,4,2,1,3,1,1,2,2,2,1,5,0,0,1.0,41326,Domestic Short Hair,"Black, Brown"
20,6436c1a59,2,1,12,2,2,2,2,1,1,1,1,0,0,7.0,41326,Mixed Breed,"Brown, White"
21,234a5a54c,4,1,3,2,2,1,2,1,2,1,3,0,0,5.0,41326,Mixed Breed,Gray
22,1bc0f89d8,4,2,0,3,2,2,2,2,3,1,10,0,0,0.0,41401,Greyhound,"Golden, Gray"
23,1bf24d8be,4,1,10,2,2,2,1,1,1,1,1,0,0,0.0,41326,Mixed Breed,"Black, Brown"
24,988988d5b,1,2,3,1,1,1,2,1,2,1,1,0,0,19.0,41401,Domestic Short Hair,"Brown, White"
25,cf7d3eec0,2,2,36,1,3,2,1,1,1,1,1,0,0,3.0,41326,Mixed Breed,Golden
26,85fc3c314,1,2,2,1,2,2,2,2,2,1,1,0,0,11.0,41401,Mixed Breed,Golden
27,efbf1703a,2,2,1,2,2,1,2,2,2,1,1,0,0,2.0,41326,Domestic Short Hair,Black
28,7843a9dca,3,1,14,1,3,1,1,1,2,1,1,1,0,0.0,41326,Rottweiler,"Black, Brown"
29,d341fbfd6,2,2,1,2,1,1,2,1,2,1,1,0,0,1.0,41327,Domestic Short Hair,"Brown, White"
30,1a76190c5,3,1,4,3,1,2,1,1,1,1,2,0,0,5.0,41326,Mixed Breed,"Brown, White"
31,edb920079,1,2,1,1,1,1,2,2,2,1,1,0,0,1.0,41361,Domestic Short Hair,Black
32,543130f60,4,1,24,1,2,1,1,1,2,1,5,0,0,1.0,41326,Mixed Breed,"Cream, White"
33,9415bc79e,3,2,4,2,1,1,2,2,2,1,2,0,0,7.0,41326,Domestic Short Hair,"Black, Gray"
34,4c6fe4100,4,2,3,2,1,1,1,2,2,1,1,1,0,5.0,41327,Domestic Short Hair,"Black, White"
35,0737e4f11,1,2,12,2,2,3,2,2,2,1,1,0,0,5.0,41326,Domestic Long Hair,Gray
36,61fa73996,4,2,24,2,2,2,1,1,3,1,3,0,0,2.0,41326,Mixed Breed,"Black, Yellow"
37,eabb13cea,1,2,2,2,1,2,2,2,2,1,1,0,0,3.0,41326,Domestic Medium Hair,Brown
38,deff069a2,1,1,12,1,2,1,2,2,2,1,1,0,0,4.0,41336,Mixed Breed,Black
39,4e3640544,3,1,12,1,2,2,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,Cream
