,Unnamed: 0,PetID,AdoptionSpeed,Type,Age,Gender,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,VideoAmt,PhotoAmt,State,Breed,Colors
1,1,6296e909a,0,2,1,1,2,2,3,3,3,1,1,0,0,2.0,41401,Domestic Medium Hair,"Black, Brown"
2,2,3422e4906,3,1,1,1,2,2,1,1,2,1,1,0,0,7.0,41326,Mixed Breed,"Brown, White"
25,25,cf7d3eec0,2,2,36,1,3,2,1,1,1,1,1,0,0,3.0,41326,Mixed Breed,Golden
29,29,d341fbfd6,2,2,1,2,1,1,2,1,2,1,1,0,0,1.0,41327,Domestic Short Hair,"Brown, White"
31,31,edb920079,1,2,1,1,1,1,2,2,2,1,1,0,0,1.0,41361,Domestic Short Hair,Black
41,41,8ee223a17,2,2,1,3,1,1,2,2,2,1,3,0,0,1.0,41326,Domestic Short Hair,"Black, Brown"
55,55,f6551137d,2,2,3,3,1,2,1,1,2,1,2,0,0,15.0,41401,Domestic Medium Hair,"Yellow, Gray"
61,61,f0ef9c777,4,1,9,1,2,1,1,1,3,1,1,0,0,2.0,41327,Mixed Breed,"Brown, Cream"
68,68,98a98311c,2,2,9,2,2,1,2,2,2,1,1,0,0,1.0,41401,Domestic Short Hair,"Brown, White"
72,72,1e62e6022,1,1,2,1,1,1,1,3,2,1,1,0,0,5.0,41401,Mixed Breed,"Black, Brown"
75,75,259b10a3e,0,1,2,2,2,1,2,1,2,1,1,0,0,1.0,41336,Mixed Breed,"Brown, Cream"
80,80,ff125cf8d,4,1,2,2,2,1,1,2,2,1,1,0,0,1.0,41327,Mixed Breed,"Black, Brown"
82,82,be9474b85,2,1,3,1,2,2,2,1,2,1,1,0,0,1.0,41325,Mixed Breed,"Black, White"
87,87,258667857,2,1,2,1,3,2,3,3,3,1,1,0,0,4.0,41326,Mixed Breed,"Black, Brown"
111,111,1bf1f95ef,4,2,12,2,2,2,1,2,1,1,2,0,0,1.0,41324,Tabby,"Golden, Gray"
115,115,1104fe6bb,4,2,1,3,1,2,2,2,2,1,4,0,0,2.0,41326,Domestic Medium Hair,"Brown, Cream"
125,125,33db028cb,2,2,1,1,1,2,2,2,2,1,1,0,1,1.0,41326,Domestic Medium Hair,"Black, White"
128,128,6f0cb510a,1,1,3,1,2,2,1,1,2,1,1,0,0,3.0,41326,Mixed Breed,Brown
137,137,1dfadc371,3,2,12,1,2,2,2,2,2,1,1,0,0,1.0,41326,Domestic Medium Hair,Black
141,141,2ac4dd8c2,3,2,5,1,2,3,2,1,2,1,1,100,0,5.0,41401,Domestic Long Hair,Yellow
143,143,48b418070,3,1,60,2,2,1,1,1,1,1,1,0,0,2.0,41401,American Staffordshire Terrier,"Black, White"
157,157,687e9c33c,4,1,2,2,2,2,1,1,2,1,1,80,0,1.0,41327,Mixed Breed,"Black, Brown"
163,163,ea11b6f12,3,1,2,3,2,1,1,1,2,1,3,30,0,3.0,41326,Mixed Breed,"Black, Yellow"
191,191,0b0f596b5,1,1,2,1,2,1,2,2,2,1,1,0,0,4.0,41401,Mixed Breed,"Black, Brown"
204,204,c7b468b32,4,1,12,1,2,1,1,1,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
206,206,249112486,4,1,2,2,2,2,2,2,2,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
210,210,4f0eacbdd,1,2,4,2,3,1,2,2,2,1,1,0,0,8.0,41401,Domestic Short Hair,"Black, Brown"
227,227,60b9421cc,3,1,6,1,2,1,1,1,1,1,1,0,0,1.0,41326,Mixed Breed,"Black, Brown"
240,240,a88d34ee3,1,1,1,3,2,2,2,2,2,1,4,0,0,2.0,41326,Mixed Breed,"Black, Cream"
245,245,6c054c4ef,3,2,1,1,1,1,3,3,3,1,1,0,0,1.0,41327,Domestic Short Hair,"Black, White"
253,253,752491221,1,2,2,2,2,1,2,1,2,1,1,0,0,3.0,41326,Domestic Short Hair,"Black, White"
259,259,1c59cecac,0,1,18,2,2,1,1,1,1,1,1,0,0,10.0,41401,Mixed Breed,"Brown, White"
261,261,2e3bfe5a9,3,2,3,1,1,1,2,2,2,1,2,0,0,9.0,41325,Domestic Short Hair,"Black, White"
262,262,13f07ee9a,1,2,2,1,2,1,2,1,2,1,1,0,0,2.0,41401,Domestic Short Hair,White
277,277,e9eeadf82,4,1,24,2,2,1,1,1,1,2,1,20,0,2.0,41326,Mixed Breed,Brown
282,282,0f0f81a37,1,2,3,1,1,3,2,2,2,1,1,150,0,3.0,41326,Domestic Long Hair,"Black, Golden"
314,314,e9cf01a21,4,1,8,1,2,1,1,1,2,1,1,0,0,2.0,41401,Mixed Breed,Yellow
