,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed,PetScore,Emotion
0,1,Godiva,12,Mixed Breed,#N/A,2,Brown,White,White,2,2,2,1,1,1,1,0,Selangor,a042471e0f43f2cf707104a1a138a7df,0,6436c1a59,7,2,7.5,happy
1,1,BoiBoi,24,Mixed Breed,#N/A,1,Cream,White,White,2,1,1,1,2,1,5,0,Selangor,2147467fcd35e7a3bc23b9edcffc5702,0,543130f60,1,4,6,timid
2,2,Puss In Boots,1,Domestic Short Hair,#N/A,2,Yellow,#N/A,#N/A,2,1,2,2,2,1,1,0,Selangor,8e8304b632d3868293bd3fd89b105e90,0,f9df8656a,5,1,7,sad
3,2,Manja,19,Persian,#N/A,2,Black,Gray,Gray,3,3,1,1,2,1,1,0,Kuala Lumpur,12c51d7222986fbf000db9061f5082be,0,5e4154870,3,1,2,mean
4,1,,3,Mixed Breed,#N/A,3,Black,Brown,Brown,2,2,1,1,2,1,3,150,Selangor,4adf17f7d78a2ea23a77ff056b5e7779,0,c61f6507e,3,1,8,playful
5,2,Manja,7,Calico,Tortoiseshell,2,Black,Yellow,Yellow,2,1,1,1,2,1,1,0,Selangor,f1ef4bef6ae16604d7a9025549d267e9,0,b36616178,7,2,7,content
6,1,Nutella,2,Mixed Breed,#N/A,2,Brown,#N/A,#N/A,2,1,1,1,2,1,1,0,Selangor,0008ef529da74e9701db7eaaa4d9115a,0,d7f938acd,4,1,7,happy
7,2,Stalin And Churchill,12,Domestic Short Hair,Domestic Short Hair,1,Golden,White,White,2,1,1,1,1,1,2,0,Kuala Lumpur,f058aca9038b401cfaaec762e14766da,0,d0bc14f47,2,4,5,playful
8,1,Simone,24,Mixed Breed,#N/A,2,Brown,White,White,2,1,1,1,1,1,1,0,Selangor,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,bea72e6c5,24,4,5,content
9,1,Butter,16,Shih Tzu,Maltese,2,Cream,White,White,1,1,1,1,3,1,1,0,Kuala Lumpur,b37cf354602be319b4d56cf07e7bb4f4,0,1eb8a0278,3,1,7.5,happy
10,1,Spongebob,3,Mixed Breed,#N/A,1,Black,White,White,2,1,1,1,1,1,1,0,Selangor,2864803699884df90ac135583b02ec70,0,65d10be4d,3,3,5.5,playful
11,2,Oyen,10,Domestic Short Hair,#N/A,2,Yellow,#N/A,#N/A,2,1,1,1,1,1,1,0,Kuala Lumpur,930a31cee18dfc2911633da8668a0e3b,0,8f85e69ee,8,3,5,mean
12,1,Zen Lee,3,Mixed Breed,#N/A,2,Black,Brown,Brown,3,1,3,3,2,1,1,0,Selangor,fa90fa5b1ee11c86938398b60abc32cb,0,74e316be1,2,2,8,content
13,1,Female - Unique Eye Colour (D133-060516),19,Mixed Breed,#N/A,2,Black,#N/A,#N/A,2,1,1,1,1,1,1,80,Selangor,d372aa7115ee3c2e5e4796462dec984b,0,82137b39f,3,4,1,scared
14,2,Ginger,1,Domestic Short Hair,#N/A,2,Golden,Cream,Cream,2,1,2,2,2,1,1,0,Selangor,3ca325f1d711439ac5a94cfd3b1b0ea1,0,72a7cb335,7,2,7,sad
15,1,Dango,2,Shar Pei,Mixed Breed,2,Black,Brown,Brown,2,1,1,1,2,1,1,0,Selangor,d4a8b5e64cd89e2f055b505383a8ee7a,0,ebd78e1d4,3,2,9,happy
16,2,Meor For Free Adoption.,2,Domestic Medium Hair,#N/A,1,Yellow,#N/A,#N/A,1,1,1,1,2,1,1,0,Selangor,c5f05a0937608368f162868db4d0bc87,0,0b4bb9906,5,1,7,playful
17,1,Mimi,36,Spitz,Terrier,2,White,#N/A,#N/A,2,2,1,1,1,1,1,0,Kuala Lumpur,d71bf8652469d7c37ed212d0c97c3fd3,0,aafb75ee8,2,2,8,playful
18,2,Kitty 2,2,Domestic Short Hair,#N/A,2,Black,Yellow,Yellow,2,1,2,1,2,1,1,0,Kuala Lumpur,b770bac0ca797cf1433c48a35d30c4cb,0,4dad8252f,1,1,3,happy
19,1,R11,1,Mixed Breed,Mixed Breed,1,Brown,#N/A,#N/A,2,2,2,1,2,1,1,0,Selangor,b53c34474d9e24574bcec6a3d3306a0d,0,75bbaa3fa,1,2,6,content
20,1,Jack Black,3,Mixed Breed,#N/A,1,Black,White,White,2,1,1,1,2,1,1,0,Selangor,f45d8c72a87f27427cd28fc3cd2d7ce3,0,58a10d0cd,1,4,3,sad
21,2,Oren & Comot,4,Domestic Short Hair,#N/A,1,Black,Golden,Golden,1,1,1,1,2,1,2,40,Kuala Lumpur,69c67a58c4b1aa98f1f44aca7dfd6f42,0,301e16ab9,5,4,7,scared
22,1,Scooby,8,Mixed Breed,Mixed Breed,1,Brown,#N/A,#N/A,2,1,1,1,2,1,1,0,Kuala Lumpur,78ec79634d350f6850fdd4a335cab431,0,8705145ca,10,2,6,playful
23,2,Tom,4,Domestic Short Hair,#N/A,1,Black,#N/A,#N/A,2,1,1,1,1,2,1,0,Selangor,da254828fea81df2ca2e807706e04b32,0,dc1c9f8d5,5,3,6,content
24,2,No Name,2,Domestic Short Hair,#N/A,3,Black,Yellow,Yellow,1,1,1,1,2,1,3,0,Selangor,6d4450db9ed0694270afb350bf5fdc0a,0,044548f89,4,2,7,sad
25,2,Chi Chi,3,Domestic Short Hair,#N/A,1,Black,Gray,Gray,2,1,2,1,2,1,1,0,Selangor,c3e16cd29166b21c5c6bea9229257714,0,1f7d6b89e,2,3,3.5,mean
26,2,,2,Domestic Short Hair,#N/A,2,Yellow,Gray,Gray,1,1,3,3,3,1,3,0,Selangor,816a8b685d84098d66d5c052e029342e,0,2b3ec0f96,5,3,10,content
27,1,Raju,3,Mixed Breed,#N/A,1,Black,#N/A,#N/A,1,2,3,3,3,1,1,0,Kuala Lumpur,a439ae920fab142f26afe66444654a29,0,87f4ea65f,2,4,2,scared
28,2,Chiko,1,Domestic Medium Hair,#N/A,2,Black,White,White,1,2,2,1,2,1,1,0,Pahang,01324415629b56298d9756e3b6f8b2ba,0,f17d4ab32,10,4,7,scared
29,2,Stripe,4,Domestic Short Hair,Domestic Medium Hair,1,Black,Cream,Cream,2,2,1,1,2,1,1,0,Pulau Pinang,95d916190a5dcb1efc91cd93e8de4c28,0,022d2d16e,3,3,9,mean
30,1,Lady Amber,36,Terrier,Mixed Breed,2,Brown,White,White,2,2,2,1,1,1,1,0,Selangor,aa66486163b6cbc25ea62a34b11c9b91,0,487abc5e1,7,4,2,happy
31,1,Ice,3,Mixed Breed,#N/A,2,Black,Yellow,Yellow,2,2,1,1,2,1,1,0,Selangor,acb8fe0f20cbc683032b2d8c2a90bab3,0,8dfe4da6a,8,4,6,happy
32,2,Messy,2,Siamese,Domestic Long Hair,2,Black,Yellow,Yellow,1,2,2,3,2,1,1,0,Negeri Sembilan,a70e47a0e68ad036f54afb8616f1067b,0,0162634c2,3,1,6,content
33,2,Nonny & Boink Family,3,American Shorthair,#N/A,3,Black,Golden,Golden,1,1,2,2,2,1,9,0,Selangor,4d0f4b83bd88ffe0dff2db53746f909b,0,d09835201,18,3,7,sad
34,2,Wong Wong,6,Domestic Short Hair,Domestic Short Hair,1,Yellow,#N/A,#N/A,2,1,2,2,2,1,1,0,Kuala Lumpur,01f954cdf61526daf3fbeb8a074be742,0,b8d07c37b,6,2,6,content
35,1,Apple,4,Mixed Breed,#N/A,2,Golden,Yellow,Yellow,2,1,1,1,2,1,1,0,Kuala Lumpur,cd431467a017d5bce5f42daa746d7d08,0,9dd9f107d,1,2,6,happy
36,1,Chipsmore,2,Mixed Breed,Mixed Breed,1,Black,White,White,2,1,2,2,2,1,1,0,Selangor,95481e953f8aed9ec3d16fc4509537e8,0,7ca780c35,2,1,6,sad
37,1,Jade,1,Mixed Breed,#N/A,1,Cream,White,White,2,2,2,2,2,1,1,0,Pulau Pinang,7f74401ff1a7ca18737bc527ccf23a45,0,181fb7dae,3,2,9,content
38,1,Fiddy,84,Poodle,#N/A,1,Black,Brown,Brown,2,3,1,1,2,1,1,0,Selangor,7fd186e99b4403a440f3d264bbb3b40b,0,a2b42f2e5,2,2,5,sad
39,2,Musang,4,Tabby,#N/A,1,Black,Gray,Gray,2,1,2,2,2,1,1,0,Selangor,253ffb8e460b67e342023a5563fb2e3c,0,0f3434f36,5,1,7,sad
40,2,Meowzer,12,Domestic Short Hair,Domestic Long Hair,1,Brown,White,White,2,2,1,1,1,1,1,100,Selangor,2e2c841c5f0d8038386ebe3b50b98a3b,0,0b57ed86a,4,2,6,playful
41,1,Fei Mui,8,Mixed Breed,#N/A,2,Black,White,White,2,2,1,1,1,1,1,0,Kuala Lumpur,88ae3f26c9328b0b5a54d7d8466a3351,0,30e66b835,3,4,8,happy
42,1,2 Female Puppies,1,Mixed Breed,#N/A,3,Black,Brown,Brown,2,2,2,2,2,1,2,0,Johor,c897b0a40ed373b67fc04c500c5f3a5b,0,cc8bf5e79,5,2,7,content
43,1,Mini B,3,Mixed Breed,#N/A,2,Black,Brown,Brown,2,1,1,1,2,1,1,0,Selangor,9c4ed956af87df244300ac6970d0691f,0,a22c43e29,3,4,3,sad
44,2,Gaga And Friendly,3,Domestic Short Hair,#N/A,3,Brown,#N/A,#N/A,2,1,2,2,2,1,2,0,Kuala Lumpur,2ab4127c166896dd286de9178ba91420,0,7e87938c3,3,2,8,timid
45,2,Muffin & Cupcake,2,Domestic Short Hair,#N/A,3,Black,Yellow,Yellow,2,1,1,1,2,1,2,0,Kuala Lumpur,0fddcc2044ae92f3f70fed837d35e1a6,0,14ae60869,20,3,4,sad
46,1,SuperGirl  (Mei How),12,Mixed Breed,#N/A,2,Yellow,#N/A,#N/A,2,1,1,1,1,1,1,0,Selangor,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,d6e342121,11,4,10,playful
47,1,"Cappucino,Milo,Milky,Browny,Lucky",4,Mixed Breed,Mixed Breed,3,Brown,Cream,Cream,2,1,2,2,2,1,5,0,Selangor,b13b9ebf3d547ac9f242cc6d77703544,0,b90e6ec69,6,3,5,playful
48,2,4 Cute Kittens!,1,Domestic Medium Hair,#N/A,3,Brown,Golden,Golden,1,2,2,2,2,1,4,0,Selangor,e5030a71ae967273aeebe772341c3b1d,0,4298e4c15,8,1,6,timid
49,2,Simba,2,Domestic Short Hair,#N/A,1,Golden,White,White,1,2,2,1,2,1,1,0,Selangor,cf9da461463b73962830e16dc47a1c2d,0,d075365c0,3,2,1,happy
50,2,,3,Tuxedo,#N/A,2,Black,#N/A,#N/A,1,1,2,2,2,1,4,0,Selangor,d6b41b0ff06831cfff03e75bfd12db04,0,f39fef7c1,4,4,8,sad
51,1,Ash,9,Mixed Breed,#N/A,1,Gray,#N/A,#N/A,2,1,3,1,2,1,1,0,Selangor,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,6dac572be,4,2,1,happy
52,1,Love (Ì__åÎå_åÎå±),3,Mixed Breed,#N/A,2,Brown,#N/A,#N/A,2,1,1,1,1,1,1,0,Kuala Lumpur,3937a695ba7235b85e725d270455f0c8,0,b2a23ac85,6,4,6,timid
53,1,Do Do,8,Mixed Breed,#N/A,2,Brown,#N/A,#N/A,2,1,1,1,1,1,1,0,Kuala Lumpur,0fddcc2044ae92f3f70fed837d35e1a6,0,50361acf5,9,3,6.5,content
54,1,Cheryl,12,Mixed Breed,#N/A,2,Yellow,#N/A,#N/A,2,2,1,1,2,2,1,0,Selangor,cc5a63459216872ed9c753c11b43857c,0,76288167b,4,3,7,timid
55,2,Persian Mix,2,Persian,Domestic Short Hair,2,Black,Golden,Golden,1,2,2,2,2,1,1,100,Pulau Pinang,fd970cc91d06d82eebf046340137b272,0,e0b6196d9,3,1,4,happy
56,1,Unknown 4,5,Mixed Breed,#N/A,1,Brown,#N/A,#N/A,2,1,1,1,1,1,1,0,Selangor,bd635ed566167b6bfaab1429ef7b751e,0,b75594e30,5,2,7,scared
57,2,SauSau,12,Siamese,Domestic Short Hair,1,White,#N/A,#N/A,3,1,3,3,2,1,1,0,Selangor,ed71a1eeddcb2b5fb8bf1b6fcb9fa173,0,df8ad80b3,4,3,8,scared
58,1,Isabella & Carlos,18,Mixed Breed,Mixed Breed,3,Black,White,White,3,1,1,1,1,1,2,0,Selangor,e5f791909629e34d5dcef44bbaf3da37,0,69c8c9463,2,3,3,happy
59,2,Stray Kitten,2,Domestic Short Hair,#N/A,2,Yellow,White,White,1,1,2,2,2,1,1,0,Selangor,08e03661829673e201bbeed1c4e6ef76,0,46b603304,3,2,6,timid
60,1,Ben,49,Golden Retriever,#N/A,1,Golden,Yellow,Yellow,3,2,1,1,2,1,1,0,Pulau Pinang,149cd770cf7ae82a76b995958204dd11,0,fb8efea32,2,3,5.5,playful
61,2,Mishka,2,Domestic Short Hair,#N/A,2,Black,Yellow,Yellow,1,1,2,1,3,1,1,0,Pulau Pinang,550e496b62e645bffa3dd9c147ba264c,0,1a4464471,5,2,9,happy
