,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,PetID,PhotoAmt,AdoptionSpeed,PetScore,Emotion
0,1,Lost Dog,3,Mixed Breed,NA,2,Brown,Cream,White,2,2,3,3,3,1,1,0,Kuala Lumpur,b609c40c6c840db208b149a19b856f86,0,c02be41e6,2,2,7,sad
1,1,Godiva,12,Mixed Breed,NA,2,Brown,White,#N/A,2,2,2,1,1,1,1,0,Selangor,a042471e0f43f2cf707104a1a138a7df,0,6436c1a59,7,2,6.125,happy
2,1,Benji & Kimi,4,Shih Tzu,Terrier,3,Brown,White,#N/A,1,2,1,1,1,1,2,0,Selangor,aa66486163b6cbc25ea62a34b11c9b91,0,1a76190c5,5,3,7,happy
3,2,Kitten Girl Girl,3,Domestic Short Hair,NA,2,Black,White,#N/A,1,1,1,2,2,1,1,1,Pulau Pinang,6e4f4078c85aaa01b4059fbf679e6695,0,4c6fe4100,5,4,6,playful
4,1,Lollipop,72,Mixed Breed,NA,2,Brown,White,#N/A,2,1,1,1,1,1,1,0,Selangor,c9a898071102b4fc7d485be4ff0e35d9,0,ea159d8da,3,4,7,happy
5,1,Milky,60,Mixed Breed,NA,2,Brown,Cream,#N/A,2,1,2,2,1,1,1,0,Selangor,167e96a28fab246120f636262f0308d4,0,3181e5424,2,4,8,content
6,1,Z3,2,Mixed Breed,Mixed Breed,1,Brown,#N/A,#N/A,2,2,1,1,2,1,1,0,Selangor,b53c34474d9e24574bcec6a3d3306a0d,0,35593da00,5,1,9,timid
7,2,Malee,6,Domestic Medium Hair,NA,2,Cream,White,#N/A,2,2,2,1,2,1,1,50,Selangor,74dabecce4ddb0c4d08892255974496b,0,ec5069cf6,4,3,6,scared
8,2,Si Kuning,24,Domestic Short Hair,NA,1,Yellow,#N/A,#N/A,3,1,2,2,2,2,1,0,Melaka,e6ea7180b4e5320b0006e6e2f65397d9,0,370fe2afb,12,3,3,content
9,2,Manja,19,Persian,NA,2,Black,Gray,#N/A,3,3,1,1,2,1,1,0,Kuala Lumpur,12c51d7222986fbf000db9061f5082be,0,5e4154870,3,1,3,scared
10,2,Meelow,2,Domestic Medium Hair,NA,1,Golden,#N/A,#N/A,1,2,2,2,2,1,1,0,Kuala Lumpur,1004c35eccb48a99a16726b45f0d7baa,0,5247209aa,2,2,4,playful
11,1,,3,Mixed Breed,NA,3,Black,Brown,White,2,2,1,1,2,1,3,150,Selangor,4adf17f7d78a2ea23a77ff056b5e7779,0,c61f6507e,3,1,7,timid
12,1,KT(female) & TM (male),0,Mixed Breed,Mixed Breed,3,Black,Brown,Golden,3,1,3,3,3,1,2,0,Selangor,93b9bd02cfbd0944686ceee8798b9eec,0,392d3346e,4,1,8,sad
13,1,Winnie,4,Mixed Breed,NA,2,Black,White,#N/A,2,1,1,2,2,1,1,0,Negeri Sembilan,a122520ed8898a9d95086890fd0e3f1d,0,e4abb93bf,2,3,8,sad
14,1,Nutella,2,Mixed Breed,NA,2,Brown,#N/A,#N/A,2,1,1,1,2,1,1,0,Selangor,0008ef529da74e9701db7eaaa4d9115a,0,d7f938acd,4,1,10,happy
15,1,Pups For Adoption,2,Mixed Breed,NA,3,Black,Brown,White,2,1,3,3,3,1,8,0,Kuala Lumpur,c00756f2bdd8fa88fc9f07a8309f7d5d,0,03b0568b3,5,3,7,sad
16,1,Simone,24,Mixed Breed,NA,2,Brown,White,#N/A,2,1,1,1,1,1,1,0,Selangor,8b6c5cd067ada5f54ca5ffc7f7b5d896,0,bea72e6c5,24,4,5,content
17,1,Butter,16,Shih Tzu,Maltese,2,Cream,White,#N/A,1,1,1,1,3,1,1,0,Kuala Lumpur,b37cf354602be319b4d56cf07e7bb4f4,0,1eb8a0278,3,1,7,happy
