,Unnamed: 0,files,PetScore
7333,7333,train_images/0011d7c25-2.jpg,7.0
7334,7334,train_images/0011d7c25-3.jpg,7.0
7335,7335,train_images/0011d7c25-1.jpg,7.0
8393,8393,train_images/00156db4a-5.jpg,6.0
8394,8394,train_images/00156db4a-4.jpg,6.0
8395,8395,train_images/00156db4a-3.jpg,6.0
8396,8396,train_images/00156db4a-2.jpg,6.0
8397,8397,train_images/00156db4a-1.jpg,6.0
5382,5382,train_images/002230dea-1.jpg,4.0
5383,5383,train_images/002230dea-3.jpg,4.0
5384,5384,train_images/002230dea-2.jpg,4.0
5385,5385,train_images/002230dea-4.jpg,4.0
3439,3439,train_images/004a26127-2.jpg,8.0
3440,3440,train_images/004a26127-1.jpg,8.0
4460,4460,train_images/0063bd7e0-1.jpg,10.0
4461,4461,train_images/0063bd7e0-2.jpg,10.0
2297,2297,train_images/006610fe3-1.jpg,7.0
1300,1300,train_images/0090eb457-4.jpg,6.0
1301,1301,train_images/0090eb457-3.jpg,6.0
1302,1302,train_images/0090eb457-2.jpg,6.0
1303,1303,train_images/0090eb457-1.jpg,6.0
5486,5486,train_images/00a1f270a-4.jpg,1.0
5487,5487,train_images/00a1f270a-5.jpg,1.0
5488,5488,train_images/00a1f270a-2.jpg,1.0
5489,5489,train_images/00a1f270a-3.jpg,1.0
5490,5490,train_images/00a1f270a-1.jpg,1.0
9582,9582,train_images/011350faf-1.jpg,6.0
1158,1158,train_images/0118db3a8-2.jpg,6.0
1159,1159,train_images/0118db3a8-1.jpg,6.0
5989,5989,train_images/0157cf3a4-1.jpg,1.0
5990,5990,train_images/0157cf3a4-2.jpg,1.0
5991,5991,train_images/0157cf3a4-3.jpg,1.0
4204,4204,train_images/015da9e87-2.jpg,4.0
4205,4205,train_images/015da9e87-3.jpg,4.0
4206,4206,train_images/015da9e87-1.jpg,4.0
4207,4207,train_images/015da9e87-4.jpg,4.0
4208,4208,train_images/015da9e87-5.jpg,4.0
7799,7799,train_images/015fdb354-1.jpg,2.0
7800,7800,train_images/015fdb354-2.jpg,2.0
7801,7801,train_images/015fdb354-3.jpg,2.0
7802,7802,train_images/015fdb354-4.jpg,2.0
7803,7803,train_images/015fdb354-5.jpg,2.0
2805,2805,train_images/0162634c2-2.jpg,6.0
2806,2806,train_images/0162634c2-3.jpg,6.0
2807,2807,train_images/0162634c2-1.jpg,6.0
7654,7654,train_images/0173c456c-3.jpg,4.0
7655,7655,train_images/0173c456c-2.jpg,4.0
7656,7656,train_images/0173c456c-1.jpg,4.0
7657,7657,train_images/0173c456c-5.jpg,4.0
7658,7658,train_images/0173c456c-4.jpg,4.0
5076,5076,train_images/017eda6dc-2.jpg,6.0
5077,5077,train_images/017eda6dc-3.jpg,6.0
5078,5078,train_images/017eda6dc-1.jpg,6.0
5079,5079,train_images/017eda6dc-4.jpg,6.0
9853,9853,train_images/01b8e6c14-1.jpg,4.0
7498,7498,train_images/01d646ea8-1.jpg,10.0
7993,7993,train_images/01dac4b22-1.jpg,7.0
5524,5524,train_images/01e4020da-1.jpg,6.0
5525,5525,train_images/01e4020da-3.jpg,6.0
5526,5526,train_images/01e4020da-2.jpg,6.0
5527,5527,train_images/01e4020da-4.jpg,6.0
3437,3437,train_images/01e78230b-1.jpg,1.0
3438,3438,train_images/01e78230b-2.jpg,1.0
2122,2122,train_images/01f4746ef-2.jpg,10.0
2123,2123,train_images/01f4746ef-1.jpg,10.0
9576,9576,train_images/0211e2f2d-3.jpg,7.0
9577,9577,train_images/0211e2f2d-2.jpg,7.0
9578,9578,train_images/0211e2f2d-1.jpg,7.0
8847,8847,train_images/022b37ea0-1.jpg,4.0
8848,8848,train_images/022b37ea0-3.jpg,4.0
8849,8849,train_images/022b37ea0-2.jpg,4.0
8850,8850,train_images/022b37ea0-6.jpg,4.0
8851,8851,train_images/022b37ea0-7.jpg,4.0
6330,6330,train_images/022d2d16e-1.jpg,6.0
6331,6331,train_images/022d2d16e-3.jpg,6.0
6332,6332,train_images/022d2d16e-2.jpg,6.0
148,148,train_images/02401db5e-2.jpg,5.0
149,149,train_images/02401db5e-3.jpg,5.0
150,150,train_images/02401db5e-1.jpg,5.0
151,151,train_images/02401db5e-4.jpg,5.0
4303,4303,train_images/026c5716f-2.jpg,6.0
4304,4304,train_images/026c5716f-3.jpg,6.0
4305,4305,train_images/026c5716f-1.jpg,6.0
7499,7499,train_images/028d42a4b-5.jpg,10.0
7500,7500,train_images/028d42a4b-4.jpg,10.0
7501,7501,train_images/028d42a4b-6.jpg,10.0
7502,7502,train_images/028d42a4b-3.jpg,10.0
7503,7503,train_images/028d42a4b-2.jpg,10.0
2352,2352,train_images/02af3813e-1.jpg,10.0
2353,2353,train_images/02af3813e-2.jpg,10.0
1390,1390,train_images/02c40b53c-3.jpg,8.0
1391,1391,train_images/02c40b53c-2.jpg,8.0
1392,1392,train_images/02c40b53c-1.jpg,8.0
1393,1393,train_images/02c40b53c-5.jpg,8.0
1394,1394,train_images/02c40b53c-4.jpg,8.0
9624,9624,train_images/02c7d1b74-3.jpg,10.0
9625,9625,train_images/02c7d1b74-2.jpg,10.0
9626,9626,train_images/02c7d1b74-1.jpg,10.0
9627,9627,train_images/02c7d1b74-4.jpg,10.0
3311,3311,train_images/02d6020a9-2.jpg,4.0
3312,3312,train_images/02d6020a9-1.jpg,4.0
8743,8743,train_images/02e072cbd-2.jpg,6.0
8744,8744,train_images/02e072cbd-1.jpg,6.0
9790,9790,train_images/02e51a9e2-5.jpg,7.0
9791,9791,train_images/02e51a9e2-4.jpg,7.0
9792,9792,train_images/02e51a9e2-3.jpg,7.0
9793,9793,train_images/02e51a9e2-2.jpg,7.0
9794,9794,train_images/02e51a9e2-1.jpg,7.0
1764,1764,train_images/02eb29707-2.jpg,4.0
1765,1765,train_images/02eb29707-1.jpg,4.0
4095,4095,train_images/02f89bdcb-1.jpg,6.0
4096,4096,train_images/02f89bdcb-3.jpg,6.0
4097,4097,train_images/02f89bdcb-2.jpg,6.0
3138,3138,train_images/031a01c36-1.jpg,7.0
3139,3139,train_images/031a01c36-2.jpg,7.0
3451,3451,train_images/031a0e45a-1.jpg,6.0
3452,3452,train_images/031a0e45a-3.jpg,6.0
3453,3453,train_images/031a0e45a-2.jpg,6.0
3454,3454,train_images/031a0e45a-4.jpg,6.0
2219,2219,train_images/0340ac5f7-3.jpg,7.0
2220,2220,train_images/0340ac5f7-2.jpg,7.0
2221,2221,train_images/0340ac5f7-1.jpg,7.0
3315,3315,train_images/035992662-1.jpg,5.0
7988,7988,train_images/035ff37c6-1.jpg,8.0
2051,2051,train_images/036e015d2-3.jpg,5.0
2052,2052,train_images/036e015d2-2.jpg,5.0
2053,2053,train_images/036e015d2-1.jpg,5.0
9642,9642,train_images/039fea576-1.jpg,2.0
9231,9231,train_images/03b0568b3-5.jpg,7.0
9232,9232,train_images/03b0568b3-4.jpg,7.0
9233,9233,train_images/03b0568b3-1.jpg,7.0
9234,9234,train_images/03b0568b3-3.jpg,7.0
9235,9235,train_images/03b0568b3-2.jpg,7.0
3776,3776,train_images/03c323fcf-1.jpg,7.0
3777,3777,train_images/03c323fcf-2.jpg,7.0
3778,3778,train_images/03c323fcf-3.jpg,7.0
9220,9220,train_images/03c6478b9-1.jpg,10.0
5235,5235,train_images/03db2966b-2.jpg,4.0
5236,5236,train_images/03db2966b-3.jpg,4.0
5237,5237,train_images/03db2966b-1.jpg,4.0
8087,8087,train_images/03e429963-2.jpg,7.0
8088,8088,train_images/03e429963-3.jpg,7.0
8089,8089,train_images/03e429963-1.jpg,7.0
8748,8748,train_images/03f65bdd3-1.jpg,5.0
8749,8749,train_images/03f65bdd3-3.jpg,5.0
8750,8750,train_images/03f65bdd3-2.jpg,5.0
8751,8751,train_images/03f65bdd3-5.jpg,5.0
8752,8752,train_images/03f65bdd3-4.jpg,5.0
2541,2541,train_images/042b1e55f-1.jpg,6.0
5174,5174,train_images/04372b78d-4.jpg,8.0
5175,5175,train_images/04372b78d-5.jpg,8.0
5176,5176,train_images/04372b78d-1.jpg,8.0
5177,5177,train_images/04372b78d-2.jpg,8.0
5178,5178,train_images/04372b78d-3.jpg,8.0
1441,1441,train_images/044548f89-3.jpg,7.0
1442,1442,train_images/044548f89-2.jpg,7.0
1443,1443,train_images/044548f89-1.jpg,7.0
1444,1444,train_images/044548f89-4.jpg,7.0
3734,3734,train_images/047c20d1a-1.jpg,6.0
3735,3735,train_images/047c20d1a-3.jpg,6.0
3736,3736,train_images/047c20d1a-2.jpg,6.0
8774,8774,train_images/048519a46-4.jpg,3.0
8775,8775,train_images/048519a46-2.jpg,3.0
8776,8776,train_images/048519a46-3.jpg,3.0
8777,8777,train_images/048519a46-1.jpg,3.0
5829,5829,train_images/048df7861-1.jpg,3.0
5830,5830,train_images/048df7861-2.jpg,3.0
5831,5831,train_images/048df7861-3.jpg,3.0
5832,5832,train_images/048df7861-7.jpg,3.0
5833,5833,train_images/048df7861-6.jpg,3.0
8786,8786,train_images/0490c8df1-1.jpg,5.0
2614,2614,train_images/0497c5ed8-1.jpg,8.0
2615,2615,train_images/0497c5ed8-2.jpg,8.0
2616,2616,train_images/0497c5ed8-3.jpg,8.0
213,213,train_images/04a555b91-1.jpg,4.0
214,214,train_images/04a555b91-2.jpg,4.0
1278,1278,train_images/04a6267e4-1.jpg,5.0
1279,1279,train_images/04a6267e4-2.jpg,5.0
963,963,train_images/04e829d49-1.jpg,8.0
7148,7148,train_images/04ea19d2b-1.jpg,6.0
7149,7149,train_images/04ea19d2b-3.jpg,6.0
7150,7150,train_images/04ea19d2b-2.jpg,6.0
7151,7151,train_images/04ea19d2b-5.jpg,6.0
7152,7152,train_images/04ea19d2b-4.jpg,6.0
3835,3835,train_images/053d121b8-3.jpg,4.0
3836,3836,train_images/053d121b8-2.jpg,4.0
3837,3837,train_images/053d121b8-1.jpg,4.0
152,152,train_images/05486faf5-1.jpg,2.0
153,153,train_images/05486faf5-2.jpg,2.0
3393,3393,train_images/058d37dda-3.jpg,4.0
3394,3394,train_images/058d37dda-2.jpg,4.0
3395,3395,train_images/058d37dda-1.jpg,4.0
3396,3396,train_images/058d37dda-5.jpg,4.0
3397,3397,train_images/058d37dda-4.jpg,4.0
6434,6434,train_images/059d8d91f-1.jpg,5.0
6435,6435,train_images/059d8d91f-2.jpg,5.0
1314,1314,train_images/05aad3b3f-1.jpg,3.0
1315,1315,train_images/05aad3b3f-3.jpg,3.0
1316,1316,train_images/05aad3b3f-2.jpg,3.0
7076,7076,train_images/05d2022eb-2.jpg,5.0
7077,7077,train_images/05d2022eb-1.jpg,5.0
6239,6239,train_images/05f00d521-1.jpg,10.0
1771,1771,train_images/05f84991b-5.jpg,4.0
1772,1772,train_images/05f84991b-4.jpg,4.0
1773,1773,train_images/05f84991b-6.jpg,4.0
1774,1774,train_images/05f84991b-7.jpg,4.0
1775,1775,train_images/05f84991b-3.jpg,4.0
