,counts,index,id
0,11.0,1227,15a491e20
1,4.0,13478,2b9fd4034
2,8.0,3020,53037f091
3,3.0,14106,4db45721a
4,2.0,5084,8a3bb842e
5,13.0,8356,732fa3cb9
6,12.0,9646,353c89ed3
7,4.0,5926,222a3f408
8,4.0,5297,d99012d9f
9,6.0,10072,0aa2ce4a9
10,11.0,5850,8f13a2d89
11,8.0,1058,11ad894e6
12,6.0,13945,edd8e11d2
13,4.0,4296,de92761ef
14,4.0,14564,3f4d6a956
15,0.0,8702,ca5a9ff9c
16,3.0,2784,e22b9edd0
17,1.0,12544,827ac9a9f
18,1.0,6351,43ea3193d
19,2.0,1664,70fb603fd
20,2.0,4805,7727b4dae
21,20.0,13260,6261c9966
22,1.0,375,75bbaa3fa
23,5.0,10902,aa3ee9d0b
24,5.0,10722,150bf58e2
25,4.0,12428,b516f3b82
26,4.0,14380,2a9223451
27,10.0,1118,8eb134074
28,1.0,3643,0fa25b7e5
29,5.0,5543,e9b1363e5
30,1.0,7092,52d65015d
31,5.0,407,301e16ab9
32,18.0,11554,401fcc4c5
33,1.0,13633,c7f9361f9
34,1.0,13706,8fddd8a5b
35,1.0,9754,af8138fea
36,4.0,10386,cd091f4cf
37,3.0,2593,10ae2697f
38,1.0,3731,8f49d2828
39,3.0,6199,0e107c82f
40,1.0,2702,d3c79cf76
41,4.0,4199,7c9e28902
42,1.0,6919,f91ffd577
43,2.0,2104,1c67c5f4c
44,1.0,1625,8e3fba2c2
45,2.0,8089,d3dbf1e95
46,2.0,5234,d3e488484
47,1.0,6240,c40b30ff3
48,4.0,12698,02401db5e
49,2.0,4126,05486faf5
50,11.0,13753,337405507
51,5.0,12473,553752e54
52,1.0,12953,4dd89c859
53,1.0,8183,7bf11fd4d
54,5.0,5532,18810b958
55,5.0,8252,6d5afdb0f
56,9.0,1573,bee25f46d
57,5.0,34,4c6fe4100
58,0.0,3006,c1d58a395
59,5.0,5615,a97467fb6
60,3.0,2945,55b797c90
61,1.0,6364,7d6cd8ac7
62,5.0,13884,b268202d8
63,8.0,8077,d41f2a466
64,3.0,5895,e77941c00
65,8.0,11518,763264fa2
66,2.0,7579,04a555b91
67,3.0,6624,dd3c902ae
68,11.0,8654,128b247b8
69,5.0,13445,4b932ab38
70,4.0,13774,2b1582f99
71,3.0,11933,a3a0fa212
72,11.0,5165,d17892c89
73,5.0,7749,dd4196a55
74,3.0,11979,96cf0efdb
75,11.0,2613,8a9465eee
76,1.0,3836,d0e762abd
77,2.0,12208,0bd394ec8
78,1.0,12978,38f6d8ab9
79,4.0,1945,c44a94d4b
80,2.0,6957,c14530f38
81,1.0,6621,951d3ae42
82,6.0,7704,8d76a1b7f
83,2.0,2013,53ac79c6c
84,14.0,4113,9f12dbf17
85,5.0,7459,1819e298c
86,5.0,5969,018188075
87,5.0,5419,351eefe3e
88,4.0,6251,5edf4d9bb
89,2.0,9338,97b0b5d92
90,6.0,12203,672e80119
91,2.0,4685,26dfe8b29
92,7.0,923,3d3aef491
93,1.0,11004,b26bf64a6
94,1.0,14992,a83d95ead
95,5.0,11463,cd565b4f7
96,3.0,2271,fe854f6a1
97,1.0,8136,755abaa79
98,2.0,1110,abdeff83f
99,2.0,4371,8d7eff0cc
